,p1,p3,p4,p6,p13,p16,p19,p21,p23,p25,s18,s19,s20,s22,s23,s25,s27,s29,sA,sB,sC,sD,sE,sF,sG,w22,w23,w25,w27,w29,wA,wB,wC,wD
Acartia bifilosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acartia erythraea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acartia negligence,0,0,0,0,0,0,23.18,0,40.53,19.2,0,0,0,0,0,0,42.02,0,47.64,28.95,38.7,13.54,164.76,0,12.7,0,0,0,0,0,0,0.994,0.2574,0.4667
Acartia omori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acartia pacifica,0,0,0,0,0,0,0,0,0,0,117.84,38,15.08,202.15,393.52,63.32,0,0,0,0,0,0,0,158.36,0,68.039,136.1256,2.4201,1.8424,2.5044,0.0926,0,0,0.4667
Acartia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.01,96.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aetideidae sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0926,0,0,0
Aetideidae sp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0926,0,0,0
Aetideidae sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0926,0,0,0
Aetideidae copepodid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metacalanus auvivillii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haloptilus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calanoides carinatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calanus sinicus,156.66,80.71,34.38,76.95,74.76,42.46,23.18,254.49,40.53,76.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.743,2.6178,0,1.8424,3.3392,2.2224,12.425,2.3166,5.6004
Canthocalanus pauper,0,0,0,0,0,0,11.59,0,13.51,0,147.3,38,45.24,40.43,98.38,633.2,189.09,241.15,111.16,115.8,309.6,81.24,549.2,475.08,0,3.581,0,0.8067,0.9212,1.6696,0.0926,0.994,1.8018,0.9334
Cosmocalanus darwinii,0,0,0,0,0,0,0,0,40.53,9.6,0,0,0,0,0,0,21.01,0,0,0,0,13.54,0,0,0,0,0,0,0,0,0,0,0.7722,0
Mesocalanus tenuicornis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nannocalanus minor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.18,0,0,0,0,0.4606,0,0,0.497,0.2574,0
Neocalanus gracilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.88,0,0,0,54.92,0,0,0,0,0,0,0,0,0,0,0
Undinula vulgaris,0,0,0,0,0,0,0,0,13.51,0,0,0,0,0,0,63.32,42.02,96.46,31.76,57.9,38.7,27.08,54.92,158.36,0,0,0,0,0.4606,0.4174,0,0,0.2574,0
Candacia bipinnata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candacia bradyi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candacia catula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0,0
Candacia discaudata,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candacia elongata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candacia guggenheimi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paracandacia simplex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paracandacia truncata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994,0.2574,0
Candaciidae copepodid,0,0,0,0,0,0,0,0,0,0,0,19,15.08,0,0,0,0,0,31.76,28.95,0,13.54,0,79.18,0,0,0,0,0,0,0,0,0.2574,0
Centropages furcatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centropages orsinii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.92,158.36,0,0,0,0,0,0,0,0,0,0
Centropages copepodid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clausocalanus arcuicornis,0,0,0,0,0,0,11.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0926,0.497,0,0
Clausocalanus brevipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clausocalanus furcatus,0,0,0,0,37.38,0,23.18,0,40.53,19.2,0,0,0,0,49.19,126.64,84.04,48.23,79.4,202.65,38.7,40.62,109.84,158.36,0,0,0,0,0,0,0,0.497,3.861,1.4001
Clausocalanus ingens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Clausocalanus jobei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0,0
Clausocalanus lividus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clausocalanus mastigophorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.32,0,0,15.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2574,0
